country_name;country_iso2;state_id;state_name;state_iso2;city_id;city_name;latitude;longitude
Egypt;EG;3225;Aswan;ASN;31819;Idfū;24.97916;32.87722
Egypt;EG;3225;Aswan;ASN;31829;Kawm Umbū;24.47669;32.94626
Egypt;EG;3226;Sohag;SHG;31763;Akhmīm;26.56217;31.74503
Egypt;EG;3226;Sohag;SHG;31765;Al Balyanā;26.23568;32.00347
Egypt;EG;3226;Sohag;SHG;31773;Al Manshāh;26.47686;31.8035
Egypt;EG;3226;Sohag;SHG;31824;Jirjā;26.33826;31.89161
Egypt;EG;3226;Sohag;SHG;31825;Juhaynah;26.67319;31.4976
Egypt;EG;3226;Sohag;SHG;31838;Markaz Jirjā;26.30683;31.84574
Egypt;EG;3226;Sohag;SHG;31839;Markaz Sūhāj;26.53948;31.67524
Egypt;EG;3226;Sohag;SHG;31867;Sohag;26.55695;31.69478
Egypt;EG;3226;Sohag;SHG;31875;Ţahţā;26.7693;31.50214
Egypt;EG;3227;North Sinai;SIN;31788;Arish;31.13159;33.79844
Egypt;EG;3228;Monufia;MNF;31767;Al Bājūr;30.43046;31.03679
Egypt;EG;3228;Monufia;MNF;31789;Ash Shuhadā’;30.59683;30.89931
Egypt;EG;3228;Monufia;MNF;31790;Ashmūn;30.29735;30.97641
Egypt;EG;3228;Monufia;MNF;31846;Munūf;30.46597;30.93199
Egypt;EG;3228;Monufia;MNF;31854;Quwaysinā;30.56482;31.15777
Egypt;EG;3228;Monufia;MNF;31863;Shibīn al Kawm;30.55258;31.00904
Egypt;EG;3228;Monufia;MNF;31871;Talā;30.6798;30.94364
Egypt;EG;3229;Port Said;PTS;31850;Port Said;31.25654;32.28411
Egypt;EG;3230;Beni Suef;BNS;31768;Al Fashn;28.82431;30.89948
Egypt;EG;3230;Beni Suef;BNS;31798;Banī Suwayf;29.07441;31.09785
Egypt;EG;3230;Beni Suef;BNS;31801;Būsh;29.14816;31.12733
Egypt;EG;3230;Beni Suef;BNS;31869;Sumusţā as Sulţānī;28.91667;30.85
Egypt;EG;3231;Matrouh;MT;31785;Al ‘Alamayn;30.83007;28.95502
Egypt;EG;3231;Matrouh;MT;31843;Mersa Matruh;31.3529;27.23725
Egypt;EG;3231;Matrouh;MT;31866;Siwa Oasis;29.2032;25.51965
Egypt;EG;3232;Qalyubia;KB;31771;Al Khānkah;30.21035;31.36812
Egypt;EG;3232;Qalyubia;KB;31779;Al Qanāţir al Khayrīyah;30.19327;31.13703
Egypt;EG;3232;Qalyubia;KB;31796;Banhā;30.45977;31.1842
Egypt;EG;3232;Qalyubia;KB;31851;Qalyūb;30.17922;31.2056
Egypt;EG;3232;Qalyubia;KB;31864;Shibīn al Qanāṭir;30.31269;31.32018
Egypt;EG;3232;Qalyubia;KB;31873;Toukh;30.35487;31.20105
Egypt;EG;3233;Suez;SUZ;31761;Ain Sukhna;29.60018;32.31671
Egypt;EG;3233;Suez;SUZ;31868;Suez;29.97371;32.52627
Egypt;EG;3234;Gharbia;GH;31777;Al Maḩallah al Kubrá;30.97063;31.1669
Egypt;EG;3234;Gharbia;GH;31799;Basyūn;30.93976;30.81338
Egypt;EG;3234;Gharbia;GH;31828;Kafr az Zayyāt;30.8248;30.81805
Egypt;EG;3234;Gharbia;GH;31855;Quţūr;30.97225;30.95614
Egypt;EG;3234;Gharbia;GH;31860;Samannūd;30.9616;31.24069
Egypt;EG;3234;Gharbia;GH;31872;Tanda;30.78847;31.00192
Egypt;EG;3234;Gharbia;GH;31874;Zefta;30.7142;31.24425
Egypt;EG;3235;Alexandria;ALX;31787;Alexandria;31.20176;29.91582
Egypt;EG;3235;Alexandria;ALX;149594;Abu Qir;31.31666667;30.06666667
Egypt;EG;3235;Alexandria;ALX;149595;Agami;31.0959;29.7604
Egypt;EG;3235;Alexandria;ALX;149596;Ar-Raml;31.24821;29.97368
Egypt;EG;3235;Alexandria;ALX;149597;Borg El Arab;30.91666667;29.53333333
Egypt;EG;3235;Alexandria;ALX;149598;Montaza;31.2827;30.0219
Egypt;EG;3235;Alexandria;ALX;149599;New Borg El Arab;30.88525;29.57721
Egypt;EG;3235;Alexandria;ALX;149600;Sidi Bishr;31.2521;29.9945
Egypt;EG;3236;Asyut;AST;31755;Abnūb;27.2696;31.15105
Egypt;EG;3236;Asyut;AST;31758;Abū Tīj;27.04411;31.31897
Egypt;EG;3236;Asyut;AST;31764;Al Badārī;26.99257;31.41554
Egypt;EG;3236;Asyut;AST;31781;Al Qūşīyah;27.4402;30.81841
Egypt;EG;3236;Asyut;AST;31792;Asyūţ;27.18096;31.18368
Egypt;EG;3236;Asyut;AST;31807;Dayrūţ;27.55602;30.80764
Egypt;EG;3236;Asyut;AST;31836;Manfalūţ;27.3104;30.97004
Egypt;EG;3237;South Sinai;JS;31803;Dahab;28.48208;34.49505
Egypt;EG;3237;South Sinai;JS;31812;El-Tor;28.24168;33.6222
Egypt;EG;3237;South Sinai;JS;31849;Nuwaybi‘a;29.04681;34.6634
Egypt;EG;3237;South Sinai;JS;31859;Saint Catherine;28.56191;33.94934
Egypt;EG;3237;South Sinai;JS;31862;Sharm el-Sheikh;27.91582;34.32995
Egypt;EG;3238;Faiyum;FYM;31769;Al Fayyūm;29.30995;30.8418
Egypt;EG;3238;Faiyum;FYM;31782;Al Wāsiţah;29.33778;31.20556
Egypt;EG;3238;Faiyum;FYM;31818;Ibshawāy;29.35896;30.68061
Egypt;EG;3238;Faiyum;FYM;31823;Iţsā;29.2376;30.78944
Egypt;EG;3238;Faiyum;FYM;31877;Ţāmiyah;29.47639;30.96119
Egypt;EG;3239;Giza;GZ;31766;Al Bawīţī;28.34919;28.86591
Egypt;EG;3239;Giza;GZ;31783;Al Ḩawāmidīyah;29.9;31.25
Egypt;EG;3239;Giza;GZ;31786;Al ‘Ayyāţ;29.61972;31.2575
Egypt;EG;3239;Giza;GZ;31793;Awsīm;30.12303;31.13571
Egypt;EG;3239;Giza;GZ;31795;Aş Şaff;29.56472;31.28111
Egypt;EG;3239;Giza;GZ;31816;Giza;30.00808;31.21093
Egypt;EG;3239;Giza;GZ;31833;Madīnat Sittah Uktūbar;29.81667;31.05
